sample_id,block_idx,is_correct,before_entropy,conf_entropy,after_entropy,delta_entropy,before_surprisal,conf_surprisal,after_surprisal,delta_surprisal,conf_length_tokens
84,0,True,0.5255202651023865,0.4437737464904785,0.38011425733566284,-0.14540600776672363,0.632662832736969,0.6824508309364319,0.2724918723106384,-0.36017096042633057,7
85,0,False,0.5904674530029297,0.4520149528980255,0.3722279667854309,-0.21823948621749878,0.6177472472190857,0.6542888879776001,0.21209171414375305,-0.40565553307533264,7
86,0,False,0.5054778456687927,0.4110320508480072,0.3653472363948822,-0.14013060927391052,0.7105051279067993,0.8726329803466797,0.24552547931671143,-0.4649796485900879,7
87,0,False,0.41480499505996704,0.4226207733154297,0.36086922883987427,-0.05393576622009277,0.7137628197669983,0.7486798167228699,0.24365884065628052,-0.4701039791107178,7
88,0,True,0.4547930359840393,0.437040776014328,0.37205278873443604,-0.08274024724960327,0.6810768246650696,0.6897603273391724,0.2681981325149536,-0.41287869215011597,7
89,0,True,0.32151612639427185,0.42082861065864563,0.36923131346702576,0.047715187072753906,1.421595811843872,0.7052025198936462,0.2628527879714966,-1.1587430238723755,7
90,0,True,0.3713519871234894,0.4293484091758728,0.35477346181869507,-0.01657852530479431,0.6511496305465698,0.7261442542076111,0.2533930242061615,-0.3977566063404083,7
91,0,True,0.4306294023990631,0.4159696400165558,0.36052948236465454,-0.07009992003440857,1.3361564874649048,0.8182680010795593,0.22740736603736877,-1.1087491512298584,7
92,0,True,0.4538079500198364,0.42680808901786804,0.3579636216163635,-0.0958443284034729,0.6381964683532715,0.7516974210739136,0.24720492959022522,-0.39099153876304626,7
93,0,True,0.32880711555480957,0.4230790436267853,0.35583657026290894,0.027029454708099365,0.7068346738815308,0.7821653485298157,0.23249217867851257,-0.4743424952030182,7
94,0,True,0.4660668969154358,0.4258274734020233,0.3633946180343628,-0.102672278881073,0.712255597114563,0.7524503469467163,0.2386375367641449,-0.4736180603504181,7
95,0,True,0.41072341799736023,0.4248347282409668,0.3739277124404907,-0.03679570555686951,0.8128501176834106,0.7849540114402771,0.25888633728027344,-0.5539637804031372,7
96,0,True,0.44251155853271484,0.4776698052883148,0.3788720667362213,-0.06363949179649353,0.6223426461219788,0.7014492750167847,0.23725458979606628,-0.3850880563259125,7
97,0,True,0.3921104073524475,0.4385809302330017,0.37582337856292725,-0.016287028789520264,0.634869396686554,0.6945598721504211,0.26834040880203247,-0.3665289878845215,7
